Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor
,,,A vendor manages it,10,,,,,,,,,,,,,
QIVND:56,How many crown jewel assets does the vendor deal with?,5,0 systems,0,Vendor,Impact,16,YES,The more crown jewels the vendor handles the more risk.,,,NO,NO,NO,YES,YES,YES
,,,1 system,2,,,,,,,,,,,,,
,,,2 systems,4,,,,,,,,,,,,,
,,,3 systems,6,,,,,,,,,,,,,
,,,4 systems,8,,,,,,,,,,,,,
,,,5 or more systems,10,,,,,,,,,,,,,
QCLD:20,Does the CSP have incident response and management plans in place to minimize the impact of an unauthorized disclosure that aligns to your companies approach?,5,Yes - fully aligned,2,Cloud,Impact,20,YES,The CSP should be as fully aligned to the firm's own incident response policy and procedures.,,,NO,NO,NO,NO,YES,NO
,,,Yes - partially aligned,6,,,,,,,,,,,,,
,,,Not answered,10,,,,,,,,,,,,,
,,,No,10,,,,,,,,,,,,,
QCLD:21,Is the service provider's privacy policy consistent with our business requirements?,5,Not answered,0,Cloud,Impact,21,YES,The CSP security requirements need to align as closely as possible to the firm's requirements.,,,NO,NO,NO,NO,YES,NO
,,,Yes - fully aligned,2,,,,,,,,,,,,,
,,,Yes - partially aligned,6,,,,,,,,,,,,,
,,,No,10,,,,,,,,,,,,,
QCLD:22,"Does the service provider's customer registration processes provide an appropriate level of assurance in line with the value, criticality and sensitivity of the information to be placed in the cloud service?",5,Not answered,0,Cloud,Impact,22,YES,Privacy policies and compliance with GDPR and other regulations are needed to reduce risk.  Indicate how well your align to the requirements.,,,NO,NO,NO,NO,YES,NO
,,,Yes - Aligned to all privacy requirements,6,,,,,,,,,,,,,
,,,No,10,,,,,,,,,,,,,
QCLD:26,Have requirements for the encryption of the information been identified and put in place?,5,Not answered,0,Cloud,Impact,26,YES,Encryption reduces data loss risk significantly.,,,NO,NO,NO,NO,YES,NO
,,,Yes - understood and in place,2,,,,,,,,,,,,,
,,,Only understood,6,,,,,,,,,,,,,
,,,No,10,,,,,,,,,,,,,
QCLD:110:282,"Does the organization have its own business continuity and disaster recovery plan in place to ensure that it can recover from a service outage, the service provider going out of business or withdrawing the service?",5,Not answered,0,Cloud,Impact,27,YES,Provide information on the review process you use.,,,NO,NO,NO,NO,YES,NO
,,,No,2,,,,,,,,,,,,,
,,,Yes - Not Annually Reviewed,5,,,,,,,,,,,,,
,,,Yes - Annually Reviewed,7,,,,,,,,,,,,,
,,,Yes - Annually Reviewed and Tested,10,,,,,,,,,,,,,
QCLD:110:283,"Does the organization require its own data backup strategy to ensure that it can recover from a cloud service outage, or the service provider going out of business or withdrawing the service?",5,Not answered,0,Cloud,Impact,28,YES,Backup and recovery is a requirement for the organization to have to ensure service is provided regardless of the cloud service providers outage.   Document if this is tested and how often.,,,NO,NO,NO,NO,YES,NO
,,,No,2,,,,,,,,,,,,,
,,,Yes - Backups not tested,4,,,,,,,,,,,,,
,,,Yes - Backups tested,6,,,,,,,,,,,,,
,,,Yes - Backups tested quarterly,10,,,,,,,,,,,,,
