Quant Metric Name,Description,Ordinal,Quant Name,Quant Metric Level,Regulation Acronyms,Data Classes,Technology Categories,Industries,Metric Formula,Metric Formula Data
23CA. Elastio: S3 Cost,CA29 * CO13 * CO25,,Elastio ROI Model,ORGANIZATION,,,,,13. Elastio: S3 Price/GB/mo [0.02]  * Elastio: Annualize months to years [12.00]  * Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763902160025,""updatedAt"":1767000672401,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":37,""value"":0.021,""name"":""13. Elastio: S3 Price/GB/mo"",""description"":""S3 Price/GB/mo""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1766403392970,""updatedAt"":1766403392973,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":51,""value"":12.0,""name"":""Elastio: Annualize months to years"",""description"":null}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""29CA. Elastio: S3 Storage (GB)"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
24CA. Elastio: SS Cost,CA20 * CO6 * CO25,,Elastio ROI Model,ORGANIZATION,,,,,6. Elastio: EBS Snapshot Price GB/Mo [0.05]  * Quantification Metric * 27: Elastio: Months to Annual [12.00] ,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379850892,""updatedAt"":1767001080613,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":21,""value"":0.05,""name"":""6. Elastio: EBS Snapshot Price GB/Mo"",""description"":""Elastio: EBS Snapshot Price GB/Mo""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""20CA. Elastio: SS Storage"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1766067232243,""updatedAt"":1767000881905,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":50,""value"":12.0,""name"":""27: Elastio: Months to Annual"",""description"":""Converts Months to Annual""}}]"
25CA. Elastio: Replication Cost,CA21 * CO11 * CO25,,Elastio ROI Model,ORGANIZATION,,,,,11. Elastio: Replication Snapshot Price/GB/mo [0.02]  * Quantification Metric * 27: Elastio: Months to Annual [12.00] ,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763901902873,""updatedAt"":1767001026675,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":35,""value"":0.02,""name"":""11. Elastio: Replication Snapshot Price/GB/mo"",""description"":""Replication Snapshot Price/GB/mo""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""21CA. Elastio: SS Replication"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1766067232243,""updatedAt"":1767000881905,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":50,""value"":12.0,""name"":""27: Elastio: Months to Annual"",""description"":""Converts Months to Annual""}}]"
29CA. Elastio: S3 Storage (GB),CA28 * CO24,,Elastio ROI Model,ORGANIZATION,,,,,24. Elastio: S3 Multiplier [5.00]  * Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1766065411171,""updatedAt"":1767001059190,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":48,""value"":5.0,""name"":""24. Elastio: S3 Multiplier"",""description"":""S3 Multiplier""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""CA28. Elastio: EC2/EBS Stored (GB) 10% Annual Growth"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
2CA. Elastio: Baseline Storage Annual Cost Total,CA22 to CA25,,Elastio ROI Model,ORGANIZATION,,,,,Quantification Metric + Quantification Metric + Quantification Metric + Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""22CA. Elastio: EC2/EBS Cost"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":1,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""23CA. Elastio: S3 Cost"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":3,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":4,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""24CA. Elastio: SS Cost"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":5,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":6,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""25CA. Elastio: Replication Cost"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
31CA. Elastio: Downtime Loss Post Elastio,Elastio: Downtime Loss Post Elastio,,Elastio ROI Model,ORGANIZATION,,,,,7.0.  Elastio: Down Time when Elastio is being used (hours) [8.00]  * Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379937235,""updatedAt"":1767000832986,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":27,""value"":8.0,""name"":""7.0.  Elastio: Down Time when Elastio is being used (hours)"",""description"":""Down Time when Elastio is being used (hours)""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""1CA. Elastio: Downtime lost per hour"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
32CA. Elastio: Downtime Loss,(CA1. Downtime Cost per Hour ($) * CO8. Elastio: RRTO without Elastio ),,Elastio ROI Model,ORGANIZATION,,,,,Quantification Metric * 8. Elastio: RRTO without Elastio [168.00] ,"[{""ordinal"":0,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""1CA. Elastio: Downtime lost per hour"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763896153303,""updatedAt"":1767000916823,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":33,""value"":168.0,""name"":""8. Elastio: RRTO without Elastio"",""description"":""Average RRTO""}}]"
33CA. Elastio: Elastio Restore Cost,CO21. Elastio: Annual Probability of a Ransomware Incident (0–1) * (CA16. Elastio: Total Data Stored (TB) * CO22. Elastio: Percent of data impacted) * CA17. Cost to restore 1TB),,Elastio ROI Model,ORGANIZATION,,,,,"22. Elastio: Percent of data impacted [0.50]  * 21. Elastio: Annual Probability of a Ransomware Incident  [0.20]  * 2. Elastio: Current Data Stored TB [7,500.00]  * Quantification Metric","[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763910482504,""updatedAt"":1767000782865,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":46,""value"":0.5,""name"":""22. Elastio: Percent of data impacted"",""description"":""Percent of data impacted""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763910290483,""updatedAt"":1767000772457,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":45,""value"":0.2,""name"":""21. Elastio: Annual Probability of a Ransomware Incident "",""description"":""Annual Probability of a Ransomware Incident ""}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379682629,""updatedAt"":1768594503649,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":15,""value"":7500.0,""name"":""2. Elastio: Current Data Stored TB"",""description"":""2. Data Needed""}},{""ordinal"":5,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":6,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""17CA. Elastio: Cost to restore 1TB"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
3CA. Elastio: Annualized Baseline Downtime Loss,Elastio: Baseline Downtime Loss = Downtime Cost per Hour ($) *  Downtime Hours,,Elastio ROI Model,ORGANIZATION,,,,,Quantification Metric * 8. Elastio: RRTO without Elastio [168.00] ,"[{""ordinal"":0,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""1CA. Elastio: Downtime lost per hour"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763896153303,""updatedAt"":1767000916823,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":33,""value"":168.0,""name"":""8. Elastio: RRTO without Elastio"",""description"":""Average RRTO""}}]"
4CA. Elastio: BACKUP VALIDATION COST,Elastio: BACKUP VALIDATION COST = Validation Hours/Test * Tests/Year * Engineer Rate,,Elastio ROI Model,ORGANIZATION,,,,,10. Elastio: Engineer Rate [85.00]  * 17. Elastio: Validation Hours/Test [6.00]  * 16. Elastio: Tests/Year [4.00] ,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763901863255,""updatedAt"":1767000653490,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":34,""value"":85.0,""name"":""10. Elastio: Engineer Rate"",""description"":""Engineer Rate""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763902412189,""updatedAt"":1767000725423,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":41,""value"":6.0,""name"":""17. Elastio: Validation Hours/Test"",""description"":""Validation Hours/Test""}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763902385559,""updatedAt"":1767000700378,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":40,""value"":4.0,""name"":""16. Elastio: Tests/Year"",""description"":""Elastio: Tests/Year""}}]"
5CA. Elastio: EBS Snapshot Cost,Elastio: EBS Snapshot Cost = EBS Storage TB * Snapshot Change Rate * EBS Shapshot Prce GB/Mo *12 mo * 1024,,Elastio ROI Model,ORGANIZATION,,,,,"5. Elastio: EBS Storage (TB) [1,980.00]  * 6. Elastio: EBS Snapshot Price GB/Mo [0.05]  * 15. Elastio: Snapshot Multiplier [0.60]  * Monthly Conversion [12.00]  * Elastio: PB to GB [1,000.00] ","[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379785354,""updatedAt"":1767001046083,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":19,""value"":1980.0,""name"":""5. Elastio: EBS Storage (TB)"",""description"":""Elastio: EBS Storage""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379850892,""updatedAt"":1767001080613,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":21,""value"":0.05,""name"":""6. Elastio: EBS Snapshot Price GB/Mo"",""description"":""Elastio: EBS Snapshot Price GB/Mo""}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763902284394,""updatedAt"":1767001015132,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":39,""value"":0.6,""name"":""15. Elastio: Snapshot Multiplier"",""description"":""Snapshot Change Rate""}},{""ordinal"":5,""isOperation"":true,""operation"":""MULTIPLY""},{""name"":""Monthly Conversion"",""ordinal"":6,""variableType"":{""id"":1,""name"":""Constant""},""value"":12.0,""isOperation"":false},{""ordinal"":7,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":8,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907313734,""updatedAt"":1766522219271,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":42,""value"":1000.0,""name"":""Elastio: PB to GB"",""description"":""Convert PB to GB""}}]"
6CA. Elastio: Downtime loss $ post breach without Elastio,Elastio: Downtime loss post breach = Elastio Down Time * Downtime Cost per Hour ($),,Elastio ROI Model,ORGANIZATION,,,,,8. Elastio: RRTO without Elastio [168.00]  * Quantification Metric,"[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763896153303,""updatedAt"":1767000916823,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":33,""value"":168.0,""name"":""8. Elastio: RRTO without Elastio"",""description"":""Average RRTO""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""1CA. Elastio: Downtime lost per hour"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}}]"
7CA. Elastio: S3 Versioning Cost,Elastio: S3 Versioning Cost =  S3 Storage (TB) * Replication Factor *  S3 Price/GB/mo,,Elastio ROI Model,ORGANIZATION,,,,,"Elastio: PB to GB [1,000.00]  * 3. Elastio: S3 Storage (TB) [500.00]  * 13. Elastio: S3 Price/GB/mo [0.02] ","[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907313734,""updatedAt"":1766522219271,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":42,""value"":1000.0,""name"":""Elastio: PB to GB"",""description"":""Convert PB to GB""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763902222599,""updatedAt"":1767001898047,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":38,""value"":500.0,""name"":""3. Elastio: S3 Storage (TB)"",""description"":""3. Data Needed""}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763902160025,""updatedAt"":1767000672401,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":37,""value"":0.021,""name"":""13. Elastio: S3 Price/GB/mo"",""description"":""S3 Price/GB/mo""}}]"
8CA. Elastio: Storage Savings,CO9 * CA2,,Elastio ROI Model,ORGANIZATION,,,,,Quantification Metric * 9. Elastio: Storage Savings (%) [0.15] ,"[{""ordinal"":0,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""2CA. Elastio: Baseline Storage Annual Cost Total"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379950782,""updatedAt"":1767001004776,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":28,""value"":0.15,""name"":""9. Elastio: Storage Savings (%)"",""description"":""Saves 15 % on storage""}}]"
9CA. Elastio: Downtime Savings,Elastio: Downtime Savings = (Total Baseline Annual Cost -  Downtime Loss Post Elastio) + Annual Ransomware Exposure ($),,Elastio ROI Model,ORGANIZATION,,,,,Quantification Metric -  (Quantification Metric * Hours [8.00] ) ,"[{""ordinal"":0,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""6CA. Elastio: Downtime loss $ post breach without Elastio"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":1,""isOperation"":true,""operation"":""MINUS""},{""ordinal"":2,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":3,""variableType"":{""id"":17,""name"":""Quantification Metric""},""isOperation"":false,""quantMetricRef"":{""id"":null,""name"":""1CA. Elastio: Downtime lost per hour"",""quant"":{""id"":1031,""name"":""Elastio ROI Model"",""description"":""ROI Model""},""quantMetricLevel"":""ORGANIZATION""}},{""ordinal"":4,""isOperation"":true,""operation"":""MULTIPLY""},{""name"":""Hours"",""ordinal"":5,""variableType"":{""id"":1,""name"":""Constant""},""value"":8.0,""isOperation"":false},{""ordinal"":6,""isOperation"":true,""operation"":""CLOSE_BRACKET""}]"
CA28. Elastio: EC2/EBS Stored (GB) 10% Annual Growth,10% * TB storage EC2,,Elastio ROI Model,ORGANIZATION,,,,,"2. Elastio: Current Data Stored TB [7,500.00]  * 23: Elastio: Client Storage Growth Rate [1.10]  * Elastio: PB to GB [1,000.00] ","[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379682629,""updatedAt"":1768594503649,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":15,""value"":7500.0,""name"":""2. Elastio: Current Data Stored TB"",""description"":""2. Data Needed""}},{""ordinal"":1,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1766064729514,""updatedAt"":1767000815516,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":47,""value"":1.1,""name"":""23: Elastio: Client Storage Growth Rate"",""description"":""Client Storage Growth Rate""}},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":4,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763907313734,""updatedAt"":1766522219271,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":42,""value"":1000.0,""name"":""Elastio: PB to GB"",""description"":""Convert PB to GB""}}]"
Elastio: Investment for Risk Reduction Vendor Risk,Investment for Risk Reduction Vendor Risk,,Total Exposure,ORGANIZATION,VRF,,,," (Vendor Fine [50,000.00]  + Vendor Loss [50,000.00] )  * Vendor Likelihood [0.50]  - Elastio: Investment Credit [5,000.00] ","[{""ordinal"":0,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":1,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1768592931879,""updatedAt"":1768592931882,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":53,""value"":50000.0,""name"":""Vendor Fine"",""description"":null}},{""ordinal"":2,""isOperation"":true,""operation"":""PLUS""},{""ordinal"":3,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1768592944243,""updatedAt"":1768592944247,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":54,""value"":50000.0,""name"":""Vendor Loss"",""description"":null}},{""ordinal"":4,""isOperation"":true,""operation"":""CLOSE_BRACKET""},{""ordinal"":5,""isOperation"":true,""operation"":""MULTIPLY""},{""ordinal"":6,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1768593158089,""updatedAt"":1768593158092,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":55,""value"":0.5,""name"":""Vendor Likelihood"",""description"":null}},{""ordinal"":7,""isOperation"":true,""operation"":""MINUS""},{""ordinal"":8,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1768592916246,""updatedAt"":1768592916249,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":52,""value"":5000.0,""name"":""Elastio: Investment Credit"",""description"":null}}]"
Elastio: Ransomware Exposure,Elastio Ransomware Exposure,,Total Exposure,ORGANIZATION,,,,,"0. Elastio: Prospect Annual Revenue [7,600,000,000.00]  / Operating Hours [3,160.00]  * RRTO","[{""ordinal"":0,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763380911777,""updatedAt"":1768594450547,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":30,""value"":7.6E9,""name"":""0. Elastio: Prospect Annual Revenue"",""description"":""0. Data Needed""}},{""ordinal"":1,""isOperation"":true,""operation"":""DIVIDE""},{""name"":""Operating Hours"",""ordinal"":2,""variableType"":{""id"":1,""name"":""Constant""},""value"":3160.0,""isOperation"":false},{""ordinal"":3,""isOperation"":true,""operation"":""MULTIPLY""},{""name"":""570"",""ordinal"":4,""variableType"":{""id"":15,""name"":""RRTO""},""isOperation"":false}]"
Elastio: Ransomware ROI,Elastio Ransomware ROI = ABS (Downtime Savings- Elastio Annual Cost) / Elastio Annual Cost,,Elastio ROI Model,ORGANIZATION,,,,,0,"[{""ordinal"":0,""variableType"":{""id"":1,""name"":""Constant""},""value"":0.0,""isOperation"":false}]"
Elastio: Storage ROI Post Breach,Elastio: Storage ROI Post Breach = ABS (Storage Savings-Elastio Annual Cost )/Elastio Annual Cost,,Elastio ROI Model,ORGANIZATION,,,,," ABS (9. Elastio: Storage Savings (%) [0.15]  - Elastio Cost [50,000.00] )  / Elastio Cost [50,000.00] ","[{""ordinal"":0,""isOperation"":true,""operation"":""ABS""},{""ordinal"":1,""isOperation"":true,""operation"":""OPEN_BRACKET""},{""ordinal"":2,""variableType"":{""id"":16,""name"":""Risk model Constant""},""isOperation"":false,""riskModelConstantRef"":{""metadata"":{""createdAt"":1763379950782,""updatedAt"":1767001004776,""createdBy"":{""id"":65806,""title"":""ariel evans""},""updatedBy"":{""id"":65806,""title"":""ariel evans""}},""id"":28,""value"":0.15,""name"":""9. Elastio: Storage Savings (%)"",""description"":""Saves 15 % on storage""}},{""ordinal"":3,""isOperation"":true,""operation"":""MINUS""},{""name"":""Elastio Cost"",""ordinal"":4,""variableType"":{""id"":1,""name"":""Constant""},""value"":50000.0,""isOperation"":false},{""ordinal"":5,""isOperation"":true,""operation"":""CLOSE_BRACKET""},{""ordinal"":6,""isOperation"":true,""operation"":""DIVIDE""},{""name"":""Elastio Cost"",""ordinal"":7,""variableType"":{""id"":1,""name"":""Constant""},""value"":50000.0,""isOperation"":false}]"
